slug,insurer,policyName,entryAge,ppt,pt,annualPremium,incomeStartYear,incomeEndYear,annualIncome,maturityLumpSum,termCoverCost,title,metaDescription
axis-max-life-swag-long-term-wealth-pcb-age-30-ppt-10,Axis Max Life,SWAG-Long Term Wealth-PCB,30,10,42,180000,13,42,154781,1768150.0,8500,Axis Max Life SWAG-Long Term Wealth-PCB Returns & XIRR (Age 30),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth-PCB for a 30-year-old. Compare it against mutual funds.
bajaj-life-gwg-assured-income-age-30-ppt-10,Bajaj Life,GWG - Assured Income,30,10,42,180000,13,42,178988,1799993.0,8500,Bajaj Life GWG - Assured Income Returns & XIRR (Age 30),Discover the true XIRR return of Bajaj Life GWG - Assured Income for a 30-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-age-30-ppt-10,Bajaj Life,GWG - Second Income,30,10,42,180000,13,42,195745,0,8500,Bajaj Life GWG - Second Income Returns & XIRR (Age 30),Discover the true XIRR return of Bajaj Life GWG - Second Income for a 30-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-with-rop-age-30-ppt-10,Bajaj Life,GWG - Second Income with ROP,30,10,42,180000,13,42,182014,1799999.0,8500,Bajaj Life GWG - Second Income with ROP Returns & XIRR (Age 30),Discover the true XIRR return of Bajaj Life GWG - Second Income with ROP for a 30-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-rop-age-30-ppt-10,Tata AIA Life,FG Secure - Regular Income ROP,30,10,42,180000,13,42,184695,1755658.0,8500,Tata AIA Life FG Secure - Regular Income ROP Returns & XIRR (Age 30),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income ROP for a 30-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-plus-age-30-ppt-10,Tata AIA Life,FG Secure - Regular Income Plus,30,10,42,180000,13,42,172456,1755663.0,8500,Tata AIA Life FG Secure - Regular Income Plus Returns & XIRR (Age 30),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income Plus for a 30-year-old. Compare it against mutual funds.
tata-aia-life-fortune-guarantee-supreme-(power-of-6)-age-30-ppt-10,Tata AIA Life,Fortune Guarantee Supreme (Power of 6),30,10,40,180000,21,40,376634,1730000.0,8500,Tata AIA Life Fortune Guarantee Supreme (Power of 6) Returns & XIRR (Age 30),Discover the true XIRR return of Tata AIA Life Fortune Guarantee Supreme (Power of 6) for a 30-year-old. Compare it against mutual funds.
lic-india-jeevan-umang-age-30-ppt-15,LIC India,Jeevan Umang,30,15,69,180000,15,69,176000,25150400.0,8500,LIC India Jeevan Umang Returns & XIRR (Age 30),Discover the true XIRR return of LIC India Jeevan Umang for a 30-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-income-insurance-plan-age-30-ppt-10,HDFC Life,Guaranteed Income Insurance Plan,30,10,42,180000,13,42,170379,1670367.0,8500,HDFC Life Guaranteed Income Insurance Plan Returns & XIRR (Age 30),Discover the true XIRR return of HDFC Life Guaranteed Income Insurance Plan for a 30-year-old. Compare it against mutual funds.
lic-india-jeevan-utsav-age-30-ppt-10,LIC India,Jeevan Utsav,30,10,69,180000,13,69,155000,0,8500,LIC India Jeevan Utsav Returns & XIRR (Age 30),Discover the true XIRR return of LIC India Jeevan Utsav for a 30-year-old. Compare it against mutual funds.
icici-prudential-life-gift-select-immediate-income-age-30-ppt-10,ICICI Prudential Life,GIFT Select - Immediate Income,30,10,37,180000,13,37,173076,1722490.0,8500,ICICI Prudential Life GIFT Select - Immediate Income Returns & XIRR (Age 30),Discover the true XIRR return of ICICI Prudential Life GIFT Select - Immediate Income for a 30-year-old. Compare it against mutual funds.
hdfc-life-sanchay-plus-long-term-income-age-35-ppt-10,HDFC Life,Sanchay Plus - Long Term Income,35,10,42,180000,13,42,179677,1854010.0,12000,HDFC Life Sanchay Plus - Long Term Income Returns & XIRR (Age 35),Discover the true XIRR return of HDFC Life Sanchay Plus - Long Term Income for a 35-year-old. Compare it against mutual funds.
axis-max-life-swp-long-term-income-age-35-ppt-10,Axis Max Life,SWP-Long Term Income,35,10,42,180000,13,42,194604,1750290.0,12000,Axis Max Life SWP-Long Term Income Returns & XIRR (Age 35),Discover the true XIRR return of Axis Max Life SWP-Long Term Income for a 35-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-age-35-ppt-10,Birla Sun Life,Assured Income Plus,35,10,42,180000,13,42,179722,0,12000,Birla Sun Life Assured Income Plus Returns & XIRR (Age 35),Discover the true XIRR return of Birla Sun Life Assured Income Plus for a 35-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-with-rop-age-35-ppt-10,Birla Sun Life,Assured Income Plus with ROP,35,10,42,180000,13,42,165966,2160012.0,12000,Birla Sun Life Assured Income Plus with ROP Returns & XIRR (Age 35),Discover the true XIRR return of Birla Sun Life Assured Income Plus with ROP for a 35-year-old. Compare it against mutual funds.
axis-max-life-swag-long-term-wealth-age-35-ppt-10,Axis Max Life,SWAG-Long Term Wealth,35,10,42,180000,13,42,168249,1768150.0,12000,Axis Max Life SWAG-Long Term Wealth Returns & XIRR (Age 35),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth for a 35-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-age-35-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income,35,10,42,180000,13,42,203771,0,12000,ICICI Prudential Life GIFT Pro - Level Income Returns & XIRR (Age 35),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income for a 35-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-age-35-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income,35,10,42,180000,13,42,139746,0,12000,ICICI Prudential Life GIFT Pro - Increasing Income Returns & XIRR (Age 35),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income for a 35-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-with-rop-age-35-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income with ROP,35,10,42,180000,13,42,188613,1774165.0,12000,ICICI Prudential Life GIFT Pro - Level Income with ROP Returns & XIRR (Age 35),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income with ROP for a 35-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-with-rop-age-35-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income with ROP,35,10,42,180000,13,42,129359,1774165.0,12000,ICICI Prudential Life GIFT Pro - Increasing Income with ROP Returns & XIRR (Age 35),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income with ROP for a 35-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-wealth-plus-income-variant-age-35-ppt-10,HDFC Life,Guaranteed Wealth Plus-Income variant,35,10,41,180000,12,41,159241,1799999.0,12000,HDFC Life Guaranteed Wealth Plus-Income variant Returns & XIRR (Age 35),Discover the true XIRR return of HDFC Life Guaranteed Wealth Plus-Income variant for a 35-year-old. Compare it against mutual funds.
canara-hsbc-life-iselect-gfp-lti-with-rop-age-35-ppt-10,Canara HSBC Life,iSelect GFP-LTI with ROP,35,10,42,180000,13,42,178304,1800000.0,12000,Canara HSBC Life iSelect GFP-LTI with ROP Returns & XIRR (Age 35),Discover the true XIRR return of Canara HSBC Life iSelect GFP-LTI with ROP for a 35-year-old. Compare it against mutual funds.
axis-max-life-swag-long-term-wealth-pcb-age-35-ppt-10,Axis Max Life,SWAG-Long Term Wealth-PCB,35,10,42,180000,13,42,151149,1768150.0,12000,Axis Max Life SWAG-Long Term Wealth-PCB Returns & XIRR (Age 35),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth-PCB for a 35-year-old. Compare it against mutual funds.
bajaj-life-gwg-assured-income-age-35-ppt-10,Bajaj Life,GWG - Assured Income,35,10,42,180000,13,42,178988,1799993.0,12000,Bajaj Life GWG - Assured Income Returns & XIRR (Age 35),Discover the true XIRR return of Bajaj Life GWG - Assured Income for a 35-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-age-35-ppt-10,Bajaj Life,GWG - Second Income,35,10,42,180000,13,42,195745,0,12000,Bajaj Life GWG - Second Income Returns & XIRR (Age 35),Discover the true XIRR return of Bajaj Life GWG - Second Income for a 35-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-with-rop-age-35-ppt-10,Bajaj Life,GWG - Second Income with ROP,35,10,42,180000,13,42,182014,1799999.0,12000,Bajaj Life GWG - Second Income with ROP Returns & XIRR (Age 35),Discover the true XIRR return of Bajaj Life GWG - Second Income with ROP for a 35-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-rop-age-35-ppt-10,Tata AIA Life,FG Secure - Regular Income ROP,35,10,42,180000,13,42,184695,1755658.0,12000,Tata AIA Life FG Secure - Regular Income ROP Returns & XIRR (Age 35),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income ROP for a 35-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-plus-age-35-ppt-10,Tata AIA Life,FG Secure - Regular Income Plus,35,10,42,180000,13,42,172456,1755663.0,12000,Tata AIA Life FG Secure - Regular Income Plus Returns & XIRR (Age 35),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income Plus for a 35-year-old. Compare it against mutual funds.
tata-aia-life-fortune-guarantee-supreme-(power-of-6)-age-35-ppt-10,Tata AIA Life,Fortune Guarantee Supreme (Power of 6),35,10,40,180000,21,40,376383,1730000.0,12000,Tata AIA Life Fortune Guarantee Supreme (Power of 6) Returns & XIRR (Age 35),Discover the true XIRR return of Tata AIA Life Fortune Guarantee Supreme (Power of 6) for a 35-year-old. Compare it against mutual funds.
lic-india-jeevan-umang-age-35-ppt-15,LIC India,Jeevan Umang,35,15,64,180000,15,64,176000,22096800.0,12000,LIC India Jeevan Umang Returns & XIRR (Age 35),Discover the true XIRR return of LIC India Jeevan Umang for a 35-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-income-insurance-plan-age-35-ppt-10,HDFC Life,Guaranteed Income Insurance Plan,35,10,42,180000,13,42,170379,1670367.0,12000,HDFC Life Guaranteed Income Insurance Plan Returns & XIRR (Age 35),Discover the true XIRR return of HDFC Life Guaranteed Income Insurance Plan for a 35-year-old. Compare it against mutual funds.
lic-india-jeevan-utsav-age-35-ppt-10,LIC India,Jeevan Utsav,35,10,64,180000,13,64,155000,0,12000,LIC India Jeevan Utsav Returns & XIRR (Age 35),Discover the true XIRR return of LIC India Jeevan Utsav for a 35-year-old. Compare it against mutual funds.
icici-prudential-life-gift-select-immediate-income-age-35-ppt-10,ICICI Prudential Life,GIFT Select - Immediate Income,35,10,37,180000,13,37,172094,1722490.0,12000,ICICI Prudential Life GIFT Select - Immediate Income Returns & XIRR (Age 35),Discover the true XIRR return of ICICI Prudential Life GIFT Select - Immediate Income for a 35-year-old. Compare it against mutual funds.
hdfc-life-sanchay-plus-long-term-income-age-40-ppt-10,HDFC Life,Sanchay Plus - Long Term Income,40,10,42,180000,13,42,179677,1854010.0,12000,HDFC Life Sanchay Plus - Long Term Income Returns & XIRR (Age 40),Discover the true XIRR return of HDFC Life Sanchay Plus - Long Term Income for a 40-year-old. Compare it against mutual funds.
axis-max-life-swp-long-term-income-age-40-ppt-10,Axis Max Life,SWP-Long Term Income,40,10,42,180000,13,42,194124,1750290.0,12000,Axis Max Life SWP-Long Term Income Returns & XIRR (Age 40),Discover the true XIRR return of Axis Max Life SWP-Long Term Income for a 40-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-age-40-ppt-10,Birla Sun Life,Assured Income Plus,40,10,42,180000,13,42,179722,0,12000,Birla Sun Life Assured Income Plus Returns & XIRR (Age 40),Discover the true XIRR return of Birla Sun Life Assured Income Plus for a 40-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-with-rop-age-40-ppt-10,Birla Sun Life,Assured Income Plus with ROP,40,10,42,180000,13,42,165966,2160012.0,12000,Birla Sun Life Assured Income Plus with ROP Returns & XIRR (Age 40),Discover the true XIRR return of Birla Sun Life Assured Income Plus with ROP for a 40-year-old. Compare it against mutual funds.
axis-max-life-swag-long-term-wealth-age-40-ppt-10,Axis Max Life,SWAG-Long Term Wealth,40,10,42,180000,13,42,168227,1768150.0,12000,Axis Max Life SWAG-Long Term Wealth Returns & XIRR (Age 40),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth for a 40-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-age-40-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income,40,10,42,180000,13,42,203771,0,12000,ICICI Prudential Life GIFT Pro - Level Income Returns & XIRR (Age 40),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income for a 40-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-age-40-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income,40,10,42,180000,13,42,139746,0,12000,ICICI Prudential Life GIFT Pro - Increasing Income Returns & XIRR (Age 40),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income for a 40-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-with-rop-age-40-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income with ROP,40,10,42,180000,13,42,188613,1774165.0,12000,ICICI Prudential Life GIFT Pro - Level Income with ROP Returns & XIRR (Age 40),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income with ROP for a 40-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-with-rop-age-40-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income with ROP,40,10,42,180000,13,42,129359,1774165.0,12000,ICICI Prudential Life GIFT Pro - Increasing Income with ROP Returns & XIRR (Age 40),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income with ROP for a 40-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-wealth-plus-income-variant-age-40-ppt-10,HDFC Life,Guaranteed Wealth Plus-Income variant,40,10,41,180000,12,41,159241,1799999.0,12000,HDFC Life Guaranteed Wealth Plus-Income variant Returns & XIRR (Age 40),Discover the true XIRR return of HDFC Life Guaranteed Wealth Plus-Income variant for a 40-year-old. Compare it against mutual funds.
canara-hsbc-life-iselect-gfp-lti-with-rop-age-40-ppt-10,Canara HSBC Life,iSelect GFP-LTI with ROP,40,10,42,180000,13,42,177936,1800000.0,12000,Canara HSBC Life iSelect GFP-LTI with ROP Returns & XIRR (Age 40),Discover the true XIRR return of Canara HSBC Life iSelect GFP-LTI with ROP for a 40-year-old. Compare it against mutual funds.
axis-max-life-swag-long-term-wealth-pcb-age-40-ppt-10,Axis Max Life,SWAG-Long Term Wealth-PCB,40,10,42,180000,13,42,145219,1768150.0,12000,Axis Max Life SWAG-Long Term Wealth-PCB Returns & XIRR (Age 40),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth-PCB for a 40-year-old. Compare it against mutual funds.
bajaj-life-gwg-assured-income-age-40-ppt-10,Bajaj Life,GWG - Assured Income,40,10,42,180000,13,42,177719,1800008.0,12000,Bajaj Life GWG - Assured Income Returns & XIRR (Age 40),Discover the true XIRR return of Bajaj Life GWG - Assured Income for a 40-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-age-40-ppt-10,Bajaj Life,GWG - Second Income,40,10,42,180000,13,42,195360,0,12000,Bajaj Life GWG - Second Income Returns & XIRR (Age 40),Discover the true XIRR return of Bajaj Life GWG - Second Income for a 40-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-with-rop-age-40-ppt-10,Bajaj Life,GWG - Second Income with ROP,40,10,42,180000,13,42,181454,1799998.0,12000,Bajaj Life GWG - Second Income with ROP Returns & XIRR (Age 40),Discover the true XIRR return of Bajaj Life GWG - Second Income with ROP for a 40-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-rop-age-40-ppt-10,Tata AIA Life,FG Secure - Regular Income ROP,40,10,42,180000,13,42,184695,1755658.0,12000,Tata AIA Life FG Secure - Regular Income ROP Returns & XIRR (Age 40),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income ROP for a 40-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-plus-age-40-ppt-10,Tata AIA Life,FG Secure - Regular Income Plus,40,10,42,180000,13,42,172456,1755663.0,12000,Tata AIA Life FG Secure - Regular Income Plus Returns & XIRR (Age 40),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income Plus for a 40-year-old. Compare it against mutual funds.
tata-aia-life-fortune-guarantee-supreme-(power-of-6)-age-40-ppt-10,Tata AIA Life,Fortune Guarantee Supreme (Power of 6),40,10,40,180000,21,40,376132,1730000.0,12000,Tata AIA Life Fortune Guarantee Supreme (Power of 6) Returns & XIRR (Age 40),Discover the true XIRR return of Tata AIA Life Fortune Guarantee Supreme (Power of 6) for a 40-year-old. Compare it against mutual funds.
lic-india-jeevan-umang-age-40-ppt-15,LIC India,Jeevan Umang,40,15,59,180000,15,59,176000,19008000.0,12000,LIC India Jeevan Umang Returns & XIRR (Age 40),Discover the true XIRR return of LIC India Jeevan Umang for a 40-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-income-insurance-plan-age-40-ppt-10,HDFC Life,Guaranteed Income Insurance Plan,40,10,42,180000,13,42,170379,1670367.0,12000,HDFC Life Guaranteed Income Insurance Plan Returns & XIRR (Age 40),Discover the true XIRR return of HDFC Life Guaranteed Income Insurance Plan for a 40-year-old. Compare it against mutual funds.
lic-india-jeevan-utsav-age-40-ppt-10,LIC India,Jeevan Utsav,40,10,59,180000,13,59,155000,0,12000,LIC India Jeevan Utsav Returns & XIRR (Age 40),Discover the true XIRR return of LIC India Jeevan Utsav for a 40-year-old. Compare it against mutual funds.
icici-prudential-life-gift-select-immediate-income-age-40-ppt-10,ICICI Prudential Life,GIFT Select - Immediate Income,40,10,37,180000,13,37,170216,1722490.0,12000,ICICI Prudential Life GIFT Select - Immediate Income Returns & XIRR (Age 40),Discover the true XIRR return of ICICI Prudential Life GIFT Select - Immediate Income for a 40-year-old. Compare it against mutual funds.
hdfc-life-sanchay-plus-long-term-income-age-45-ppt-10,HDFC Life,Sanchay Plus - Long Term Income,45,10,42,180000,13,42,179677,1854010.0,22000,HDFC Life Sanchay Plus - Long Term Income Returns & XIRR (Age 45),Discover the true XIRR return of HDFC Life Sanchay Plus - Long Term Income for a 45-year-old. Compare it against mutual funds.
axis-max-life-swp-long-term-income-age-45-ppt-10,Axis Max Life,SWP-Long Term Income,45,10,42,180000,13,42,193656,1750290.0,22000,Axis Max Life SWP-Long Term Income Returns & XIRR (Age 45),Discover the true XIRR return of Axis Max Life SWP-Long Term Income for a 45-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-age-45-ppt-10,Birla Sun Life,Assured Income Plus,45,10,42,180000,13,42,179722,0,22000,Birla Sun Life Assured Income Plus Returns & XIRR (Age 45),Discover the true XIRR return of Birla Sun Life Assured Income Plus for a 45-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-with-rop-age-45-ppt-10,Birla Sun Life,Assured Income Plus with ROP,45,10,42,180000,13,42,165966,2160012.0,22000,Birla Sun Life Assured Income Plus with ROP Returns & XIRR (Age 45),Discover the true XIRR return of Birla Sun Life Assured Income Plus with ROP for a 45-year-old. Compare it against mutual funds.
axis-max-life-swag-long-term-wealth-age-45-ppt-10,Axis Max Life,SWAG-Long Term Wealth,45,10,42,180000,13,42,167924,1768150.0,22000,Axis Max Life SWAG-Long Term Wealth Returns & XIRR (Age 45),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth for a 45-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-age-45-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income,45,10,42,180000,13,42,203771,0,22000,ICICI Prudential Life GIFT Pro - Level Income Returns & XIRR (Age 45),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income for a 45-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-age-45-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income,45,10,42,180000,13,42,139746,0,22000,ICICI Prudential Life GIFT Pro - Increasing Income Returns & XIRR (Age 45),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income for a 45-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-with-rop-age-45-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income with ROP,45,10,42,180000,13,42,188613,1774165.0,22000,ICICI Prudential Life GIFT Pro - Level Income with ROP Returns & XIRR (Age 45),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income with ROP for a 45-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-with-rop-age-45-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income with ROP,45,10,42,180000,13,42,129359,1774165.0,22000,ICICI Prudential Life GIFT Pro - Increasing Income with ROP Returns & XIRR (Age 45),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income with ROP for a 45-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-wealth-plus-income-variant-age-45-ppt-10,HDFC Life,Guaranteed Wealth Plus-Income variant,45,10,41,180000,12,41,158512,1800010.0,22000,HDFC Life Guaranteed Wealth Plus-Income variant Returns & XIRR (Age 45),Discover the true XIRR return of HDFC Life Guaranteed Wealth Plus-Income variant for a 45-year-old. Compare it against mutual funds.
canara-hsbc-life-iselect-gfp-lti-with-rop-age-45-ppt-10,Canara HSBC Life,iSelect GFP-LTI with ROP,45,10,42,180000,13,42,165952,1800000.0,22000,Canara HSBC Life iSelect GFP-LTI with ROP Returns & XIRR (Age 45),Discover the true XIRR return of Canara HSBC Life iSelect GFP-LTI with ROP for a 45-year-old. Compare it against mutual funds.
axis-max-life-swag-long-term-wealth-pcb-age-45-ppt-10,Axis Max Life,SWAG-Long Term Wealth-PCB,45,10,42,180000,13,42,135981,1768150.0,22000,Axis Max Life SWAG-Long Term Wealth-PCB Returns & XIRR (Age 45),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth-PCB for a 45-year-old. Compare it against mutual funds.
bajaj-life-gwg-assured-income-age-45-ppt-10,Bajaj Life,GWG - Assured Income,45,10,42,180000,13,42,177719,1800008.0,22000,Bajaj Life GWG - Assured Income Returns & XIRR (Age 45),Discover the true XIRR return of Bajaj Life GWG - Assured Income for a 45-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-age-45-ppt-10,Bajaj Life,GWG - Second Income,45,10,42,180000,13,42,195360,0,22000,Bajaj Life GWG - Second Income Returns & XIRR (Age 45),Discover the true XIRR return of Bajaj Life GWG - Second Income for a 45-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-with-rop-age-45-ppt-10,Bajaj Life,GWG - Second Income with ROP,45,10,42,180000,13,42,181454,1799998.0,22000,Bajaj Life GWG - Second Income with ROP Returns & XIRR (Age 45),Discover the true XIRR return of Bajaj Life GWG - Second Income with ROP for a 45-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-rop-age-45-ppt-10,Tata AIA Life,FG Secure - Regular Income ROP,45,10,42,180000,13,42,184695,1755658.0,22000,Tata AIA Life FG Secure - Regular Income ROP Returns & XIRR (Age 45),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income ROP for a 45-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-plus-age-45-ppt-10,Tata AIA Life,FG Secure - Regular Income Plus,45,10,42,180000,13,42,172456,1755663.0,22000,Tata AIA Life FG Secure - Regular Income Plus Returns & XIRR (Age 45),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income Plus for a 45-year-old. Compare it against mutual funds.
